Bmr026-c1_0000040_0000140,yeah .,yeah .,z,z
Bmr026-c3_0052799_0053239,huh .,mmm .,b,b
Bmr026-c5_0056240_0056500,and ==,and ==,%-,%-
Bmr026-c4_0056610_0057890,which meetings is she transcribing ?,which meetings is she transcribing ?,qw^rt,qw^rt
Bmr026-c3_0057002_0057492,speaking ==,speaking ==,s^t1.%-,s^t1.%-
Bmr026-c5_0058230_0065660,um - | well we've - we've run out of e d us because a certain number of them are um - sort of awaiting to go to i b m .,um - | well we've - we've run out of e_d_us because a certain number of them are um - sort of awaiting to go to i_b_m .,h|s,h|s
Bmr026-c4_0060463_0060733,okay .,o_k .,s^bk,s^bk
Bmr026-c2_0065129_0065929,for i b m yeah .,for i_b_m yeah .,s^2,s^2
Bmr026-c4_0065834_0066104,okay .,o_k .,b,b
Bmr026-c3_0065904_0066154,huh .,hmm .,b,b
Bmr026-c5_0066120_0069470,and the rest are in process being transcribed uh - here .,and the rest are in process being transcribed uh - here .,s,s
Bmr026-c4_0068930_0070010,so we're doing some in parallel .,so we're doing some in parallel .,s^bu,s^bu
Bmr026-c3_0069340_0075200,so does she have transcribers right now who are basically sitting idle because there's no data back from i b m ?,so does she have transcribers right now who are basically sitting idle because there's no data back from i_b_m ?,qy^rt,qy^rt
Bmr026-c0_0071136_0071366,yep .,yep .,s^aa,s^aa
Bmr026-c5_0072967_0073097,no .,no .,s^ar,s^ar
Bmr026-c5_0074670_0075090,oh no no .,oh no no .,s^ar^r,s^ar^r
Bmr026-c0_0075080_0075410,no no .,no no .,s^ar,s^ar
Bmr026-c5_0075230_0075440,no .,no .,s^ar^r,s^ar^r
Bmr026-c3_0075300_0075630,no ?,no ?,qy^bu^d^r^rt,qy^bu^d^r^rt
Bmr026-c5_0075440_0076370,we're not waiting on them .,we're not waiting on them .,s,s
Bmr026-c0_0075490_0076820,we haven't done that process .,we haven't done that process .,s,s
Bmr026-c0_0076900_0079270,so they'r- - they're doing the full transcription process .,so they'r- - they're doing the full transcription process .,s^e,s^e
Bmr026-c3_0076954_0077224,oh .,oh .,s^bk,s^bk
Bmr026-c3_0079380_0079810,oh okay .,oh o_k .,s^bk,s^bk
Bmr026-c5_0079740_0079970,yeah .,yeah .,b,b
Bmr026-c4_0079890_0081080,so they're just doing their own thing until ==,so they're just doing their own thing until ==,s^bu.%-,s^bu.%-
Bmr026-c3_0080494_0097058,because i - i need to ask jane whether it's - it would be okay for her um - s- - some of her people to transcribe uh - some of the initial data we got from the smartkom data collection which is these short like five or seven minute sessions .,because i - i need to ask jane whether it's - it would be o_k for her um - s- - some of her people to transcribe uh - some of the initial data we got from the smartkom data collection which is these short like five or seven minute sessions .,s,s
Bmr026-c5_0081000_0081980,we're doing it in parallel yeah .,we're doing it in parallel yeah .,s^na,s^na
Bmr026-c4_0082084_0082194,okay .,o_k .,s^bk,s^bk
Bmr026-c2_0096122_0096342,yep .,yep .,b,b
Bmr026-c3_0097724_0099874,um - and we want it - you know we need ==,um - and we want it - you know we need ==,s.%--,s.%--
Bmr026-c3_0100428_0106157,the - again we - we have a similar uh - logistic set up where we are supposed to send the data to munich .,the - again we - we have a similar uh - logistic set-up where we are supposed to send the data to munich .,s,s
Bmr026-c3_0106157_0107797,and get it transcribed and get it back .,and get it transcribed and get it back .,s,s
Bmr026-c0_0106433_0106773,right .,right .,b,b
Bmr026-c3_0108410_0112570,but to get going we would like some of the data transcribed right away so we can get started .,but to get going we would like some of the data transcribed right away so we can get started .,s,s
Bmr026-c0_0112506_0113406,yep sounds familiar .,yep sounds familiar .,s^ba,s^ba
Bmr026-c3_0113440_0121010,and so um - i wanted to ask jane if - if uh - you know maybe one of their transcribers could - could do ==,and so um - i wanted to ask jane if - if uh - you know maybe one of their transcribers could - could do ==,s.%--,s.%--
Bmr026-c3_0121010_0123960,i mean since these are very short that should really be uh ==,i mean since these are very short that should really be uh ==,s.%-,s.%-
Bmr026-c1_0123517_0123877,uhhuh .,mm-hmm .,b,b
Bmr026-c3_0124713_0127830,um - it's ==,um - it's ==,%-,%-
Bmr026-c2_0125376_0126376,there's only two channels .,there's only two channels .,s,s
Bmr026-c2_0127140_0127850,so it's only ==,so it's only ==,%-,%-
Bmr026-c3_0127830_0128210,yeah .,yeah .,s^aa,s^aa
Bmr026-c3_0128210_0128900,it's only two ==,it's only two ==,s.%-,s.%-
Bmr026-c2_0128220_0128400,yeah .,yeah .,fg,fg
Bmr026-c2_0128490_0130680,as the synthesis doesn't have to be transcribed i think .,as the synthesis doesn't have to be transcribed i think .,s,s
Bmr026-c3_0129950_0130350,right s- ==,right s- ==,fg,fg
Bmr026-c2_0130750_0130970,so ==,so ==,fh,fh
Bmr026-c3_0130990_0131250,yeah .,yeah .,fg,fg
Bmr026-c3_0131250_0133530,so - so it's basically one channel to transcribe .,so - so it's basically one channel to transcribe .,s,s
Bmr026-c3_0133530_0133880,and it's ==,and it's ==,s.%--,s.%--
Bmr026-c3_0134070_0136710,one session is only uh - like seven ==,one session is only uh - like seven ==,s.%-,s.%-
Bmr026-c1_0136139_0138779,so that should have ma- - many fewer ==,so that should have ma- - many fewer ==,s.%--,s.%--
Bmr026-c1_0139039_0142859,and it's also not uh - a bunch of interruptions with people and all that .,and it's also not uh- - a bunch of interruptions with people and all that .,s^e,s^e
Bmr026-c3_0141830_0142080,right .,right .,s^aa,s^aa
Bmr026-c3_0142320_0147653,and some of it is read speech so we could give them the - the thing that they're reading .,and some of it is read speech so we could give them the - the thing that they're reading .,s,s
Bmr026-c1_0143059_0143219,right ?,right ?,qy^d^g,qy^d^g
Bmr026-c1_0143219_0143289,so ==,so ==,fh,fh
Bmr026-c1_0144129_0144469,yeah .,yeah .,b,b
Bmr026-c3_0147653_0148783,and they just may ==,and they just may ==,s.%-,s.%-
Bmr026-c0_0148846_0149656,make sure it's right ?,make sure it's right ?,qy^2^d^rt,qy^2^d^rt
Bmr026-c3_0149905_0151135,and so um ==,and so um ==,fh,fh
Bmr026-c2_0150298_0150478,yep .,yep .,b,b
Bmr026-c3_0151904_0153474,um - | i guess since she's ==,um - | i guess since she's ==,fh|s.%--,fh|s.%--
Bmr026-c3_0153474_0156484,i was going to ask her but since she's not around i - maybe i'll ==,i was gonna ask her but since she's not around i - maybe i'll ==,s.%-,s.%-
Bmr026-c1_0157398_0158748,yeah | well it certainly seems ==,yeah | well it certainly seems ==,fg|s.%-,fg|s.%-
Bmr026-c3_0157640_0163409,uh if - if that's okay with you to - to you know get that stuff uh - to ask her for that then i'll do that .,uh if - if that's o_k with you to - to you know get that stuff uh - to ask her for that then i'll do that .,s^cc,s^cc
Bmr026-c1_0160361_0160601,yeah .,yeah .,s^aa,s^aa
Bmr026-c1_0163750_0172390,yeah if we're held up on this other stuff a little bit in order to encompass that that's okay because i - i - um - i mean i still have high hopes that the - that the i b m pipeline will work out for us so it's ==,yeah if we're held up on this other stuff a little bit in order to encompass that that's o_k because i- - i- - um - i mean i still have high hopes that the- - that the i_b_m pipeline'll work out for us so it's ==,s.%--,s.%--
Bmr026-c3_0168307_0168557,yeah .,yeah .,b,b
Bmr026-c3_0171668_0173098,okay yeah .,o_k yeah .,s^bk,s^bk
Bmr026-c1_0174046_0174266,yeah .,yeah .,b,b
Bmr026-c3_0174480_0174790,alrighty .,alrighty .,s^bk,s^bk
Bmr026-c5_0174540_0177670,oh | yeah and also related to the transcription stuff .,oh | yeah and also related to the transcription stuff .,fg|s^tc,fg|s^tc
Bmr026-c5_0177670_0185650,so i've been trying to keep a web page uh - up to date f- - showing what the current status is of the trans- - of all the things we've collected .,so i've been trying to keep a web page uh - up to date f- - showing what the current status is of the trans- - of all the things we've collected .,s,s
Bmr026-c5_0185650_0189430,and what stage each meeting is in in terms of whether it's ==,and what stage each meeting is in in terms of whether it's ==,s.%-,s.%-
Bmr026-c0_0189028_0190518,can you mail that out to the list ?,can you mail that out to the list ?,qy^rt,qy^rt
Bmr026-c5_0190520_0191260,uhhuh yeah i will .,mm-hmm yeah i will .,s^aa^cc,s^aa^cc
Bmr026-c5_0191260_0191480,i ==,i ==,%--,%--
Bmr026-c5_0191480_0194590,that's the thing that i sent out just to foo people saying can you update these pages .,that's the thing that i sent out just to foo people saying can you update these pages .,s,s
Bmr026-c5_0194590_0195910,and so that's where i'm putting it but i'll ==,and so that's where i'm putting it but i'll ==,s.%--,s.%--
Bmr026-c0_0194881_0195731,oh okay okay .,oh o_k o_k .,s^bk,s^bk
Bmr026-c5_0196520_0198570,i'll send it out to the list telling people to look at it .,i'll send it out to the list telling people to look at it .,s^cc,s^cc
Bmr026-c0_0198462_0199462,yeah i haven't done that .,yeah i haven't done that .,s,s
Bmr026-c0_0199462_0202412,so i have lots of stuff to add that's just in my own directory .,so i have lots of stuff to add that's just in my own directory .,s,s
Bmr026-c5_0201240_0201420,yeah .,yeah .,b,b
Bmr026-c0_0202572_0203292,i'll try to get to that .,i'll try to get to that .,s^cc,s^cc
Bmr026-c0_0206858_0207038,okay .,o_k .,s^bk^rt^tc,s^bk^rt^tc
Bmr026-c0_0207378_0211848,so jane also wanted to talk about participant approval but i don't really think there's much to talk about .,so jane also wanted to talk about participant approval but i don't really think there's much to talk about .,s,s
Bmr026-c0_0211848_0212668,i'm just going to do it .,i'm just gonna do it .,s^cc,s^cc
Bmr026-c0_0213448_0216678,and uh - if anyone objects too much then they can do it instead .,and uh - if anyone objects too much then they can do it instead .,s,s
Bmr026-c1_0217680_0218640,you are going to ?==,you are going to ?==,qy^bu^d.%-,qy^bu^d.%-
Bmr026-c0_0218878_0227638,i'm going to send out to the participants uh - with links to web pages which contain the transcripts and allow them to suggest edits .,i'm gonna send out to the participants uh - with links to web pages which contain the transcripts and allow them to suggest edits .,s^cc,s^cc
Bmr026-c0_0228198_0229108,and then bleep them out .,and then bleep them out .,s,s
Bmr026-c1_0230236_0230476,okay .,o_k .,s^bk,s^bk
Bmr026-c0_0230810_0231800,for the ones that we have .,for the ones that we have .,s,s
Bmr026-c0_0233095_0233565,um ==,um ==,fh,fh
Bmr026-c2_0233096_0235786,so but it's just transcripts not the - not the audio ?,so but it's just transcripts not the - not the audio ?,qy^bu^d^rt,qy^bu^d^rt
Bmr026-c0_0235955_0237985,nope | they'll have access to the audio also .,nope | they'll have access to the audio also .,s^ar|s,s^ar|s
Bmr026-c2_0236409_0237979,okay yeah yep .,o_k yeah yep .,s^bk,s^bk
Bmr026-c2_0238659_0238809,uh ==,ah ==,h,h
Bmr026-c0_0240520_0241410,i mean that's my intention .,i mean that's my intention .,s,s
Bmr026-c2_0241259_0241379,yeah .,yeah .,b,b
Bmr026-c0_0241410_0243660,because the transcripts might not be right .,because the transcripts might not be right .,s,s
Bmr026-c5_0241550_0241840,so ==,so ==,fg,fg
Bmr026-c2_0244063_0244213,yeah .,yeah .,b,b
Bmr026-c0_0244100_0245580,so you want people to be able to listen to them .,so you want people to be able to listen to them .,s,s
Bmr026-c5_0245770_0249910,so um - the audio that they're going to have access to will that be the uncompressed version ?,so um - the audio that they're gonna have access to will that be the uncompressed version ?,qy^d^rt,qy^d^rt
Bmr026-c5_0249910_0252840,or will you have scripts that like uncompress the various pieces and ?==,or will you have scripts that like uncompress the various pieces and ?==,qrr.%-,qrr.%-
Bmr026-c0_0252269_0253159,oh that's a good point .,oh that's a good point .,s^ba,s^ba
Bmr026-c0_0254220_0254870,that's a good point .,that's a good point .,s^ba^r,s^ba^r
Bmr026-c0_0254950_0263530,yeah | it's - it's probably going to have to be the uncompressed versions because uh - uh - it takes too long to do random access decompression .,yeah | it's - it's probably going to have to be the uncompressed versions because uh - uh - it takes too long to do random access decompression .,h|s,h|s
Bmr026-c5_0262700_0263150,huh .,hmm .,b,b
Bmr026-c5_0264730_0269550,yeah i was just wondering because we're uh - running out of the un backed up disk space on ==,yeah i was just wondering because we're uh - running out of the un-backed-up disk space on ==,s.%-,s.%-
Bmr026-c0_0268867_0269767,well that was the other point .,well that was the other point .,s,s
Bmr026-c5_0270170_0270740,oh was that another one ?,oh was that another one ?,qy^bu,qy^bu
Bmr026-c0_0270677_0272227,yep that's another agenda item .,yep that's another agenda item .,s^t,s^t
Bmr026-c5_0270740_0271000,okay .,o_k .,s^bk,s^bk
Bmr026-c5_0271040_0271440,i'll wait .,i'll wait .,s^cc,s^cc
Bmr026-c0_0273128_0273718,so uh ==,so uh ==,h,h
Bmr026-c0_0275760_0277550,but that is a good point so we'll get to that too .,but that is a good point so we'll get to that too .,s^ba,s^ba
Bmr026-c0_0277550_0280140,um - | darpa demo status not much to say .,um - | darpa demo status not much to say .,h|s,h|s
Bmr026-c0_0280140_0282110,the back end stuff is working out fine .,the back-end stuff is working out fine .,s,s
Bmr026-c0_0282250_0283630,it's more or less ready to go .,it's more or less ready to go .,s,s
Bmr026-c0_0283630_0290200,i've added some stuff that uh - indes- - indexes by the meeting type m r e d u et cetera .,i've added some stuff that uh - indes- - indexes by the meeting type m_r e_d_u et cetera .,s,s
Bmr026-c0_0290200_0291770,and also by the user i d .,and also by the user i_d .,s,s
Bmr026-c0_0292600_0295310,so that the front end can then do filtering based on that as well .,so that the front-end can then do filtering based on that as well .,s,s
Bmr026-c0_0295890_0303050,uh - | the back end is uh - going more slowly as i s- - i think i said before just because i'm not much of a tcl t. k. programmer .,uh - | the back-end is uh - going more slowly as i s- - i think i said before just cuz i'm not much of a tcl-t_k programmer .,fh|s,fh|s
Bmr026-c0_0303500_0306630,and uh - | dave gelbart says he's a little too busy .,and uh - | dave gelbart says he's a little too busy .,fh|s,fh|s
Bmr026-c0_0306630_0311640,so i think don and i are going to work on that and - and you and i can just talk about it off line more .,so i think don and i are gonna work on that and - and you and i can just talk about it off-line more .,s,s
Bmr026-c4_0311500_0311720,right .,right .,b,b
Bmr026-c0_0313160_0315470,but uh - | the back end was pretty smooth .,but uh - | the back-end was pretty smooth .,fh|s,fh|s
Bmr026-c1_0314247_0314687,oh .,oh- - .,fg,fg
Bmr026-c0_0315470_0317020,so i think we'll have something .,so i think we'll have something .,s,s
Bmr026-c0_0317580_0321870,it may not be as - as pretty as we might like but we'll have something .,it may not be as - as pretty as we might like but we'll have something .,s,s
Bmr026-c1_0321926_0324316,i wondered whe- - when we would reach dave's saturation point .,i wondered whe- - when we would reach dave's saturation point .,s,s
Bmr026-c1_0324316_0326546,he's sort of been - been volunteering for everything .,he's sort of been - been volunteering for everything .,s,s
Bmr026-c1_0326546_0327876,and - and uh ==,and - and uh ==,%--,%--
Bmr026-c0_0326614_0326894,yeah .,yeah .,s^bk,s^bk
Bmr026-c3_0327032_0327622,uhhuh .,mm-hmm .,b,b
Bmr026-c1_0329597_0329987,okay !,o_k !,s^fe^rt,s^fe^rt
Bmr026-c1_0329987_0331037,finally said he was too busy .,finally said he was too busy .,s,s
Bmr026-c1_0332007_0332737,i guess we reached it .,i guess we reached it .,s,s
Bmr026-c0_0333206_0336096,yeah | he - he actually - he volunteered but then he s- - then he retracted it .,yeah | Bdb001.dadb Bdb001.out Bdb001.trans Bed002.dadb Bed002.out Bed002.trans Bed003.dadb Bed003.out Bed003.trans Bed004.dadb Bed004.out Bed004.trans Bed005.dadb Bed005.out Bed005.trans Bed006.dadb Bed006.out Bed006.trans Bed008.dadb Bed008.out Bed008.trans Bed009.dadb Bed009.out Bed009.trans Bed010.dadb Bed010.out Bed010.trans Bed011.dadb Bed011.out Bed011.trans Bed012.dadb Bed012.out Bed012.trans Bed013.dadb Bed013.out Bed013.trans Bed014.dadb Bed014.out Bed014.trans Bed015.dadb Bed015.out Bed015.trans Bed016.dadb Bed016.out Bed016.trans Bed017.dadb Bed017.out Bed017.trans Bmr001.dadb Bmr001.out Bmr001.trans Bmr002.dadb Bmr002.out Bmr002.trans Bmr003.dadb Bmr003.out Bmr003.trans Bmr005.dadb Bmr005.out Bmr005.trans Bmr006.dadb Bmr006.out Bmr006.trans Bmr007.dadb Bmr007.out Bmr007.trans Bmr008.dadb Bmr008.out Bmr008.trans Bmr009.dadb Bmr009.out Bmr009.trans Bmr010.dadb Bmr010.out Bmr010.trans Bmr011.dadb Bmr011.out Bmr011.trans Bmr012.dadb Bmr012.out Bmr012.trans Bmr013.dadb Bmr013.out Bmr013.trans Bmr014.dadb Bmr014.out Bmr014.trans Bmr015.dadb Bmr015.out Bmr015.trans Bmr016.dadb Bmr016.out Bmr016.trans Bmr018.dadb Bmr018.out Bmr018.trans Bmr019.dadb Bmr019.out Bmr019.trans Bmr020.dadb Bmr020.out Bmr020.trans Bmr021.dadb Bmr021.out Bmr021.trans Bmr022.dadb Bmr022.out Bmr022.trans Bmr023.dadb Bmr023.out Bmr023.trans Bmr024.dadb Bmr024.out Bmr024.trans Bmr025.dadb Bmr025.out Bmr025.trans Bmr026.dadb Bmr026.out Bmr026.trans Bmr027.dadb Bmr027.trans Bmr028.dadb Bmr028.trans Bmr029.dadb Bmr029.trans Bmr030.dadb Bmr030.trans Bmr031.dadb Bmr031.trans Bns001.dadb Bns001.trans Bns002.dadb Bns002.trans Bns003.dadb Bns003.trans Bro003.dadb Bro003.trans Bro004.dadb Bro004.trans Bro005.dadb Bro005.trans Bro007.dadb Bro007.trans Bro008.dadb Bro008.trans Bro010.dadb Bro010.trans Bro011.dadb Bro011.trans Bro012.dadb Bro012.trans Bro013.dadb Bro013.trans Bro014.dadb Bro014.trans Bro015.dadb Bro015.trans Bro016.dadb Bro016.trans Bro017.dadb Bro017.trans Bro018.dadb Bro018.trans Bro019.dadb Bro019.trans Bro021.dadb Bro021.trans Bro022.dadb Bro022.trans Bro023.dadb Bro023.trans Bro024.dadb Bro024.trans Bro025.dadb Bro025.trans Bro026.dadb Bro026.trans Bro027.dadb Bro027.trans Bro028.dadb Bro028.trans Bsr001.dadb Bsr001.trans Btr001.dadb Btr001.trans Btr002.dadb Btr002.trans Buw001.dadb Buw001.trans scr.sh he - he actually - he volunteered but then he s- - then he retracted it .,fg|s,fg|s
Bmr026-c0_0336096_0336406,so ==,so ==,fh,fh
Bmr026-c0_0336826_0337216,oh well .,oh well .,s^bd,s^bd
Bmr026-c0_0337910_0338470,um ==,um ==,fg,fg
Bmr026-c4_0339560_0344885,and also um - | i was just showing andreas i got um - an x waves kind of display .,and also um - | i was just showing andreas i got um - an x_waves kind of display .,fg|s^tc,fg|s^tc
Bmr026-c4_0344885_0346795,and i don't know how much more we can do with it .,and i don't know how much more we can do with it .,s^no,s^no
Bmr026-c4_0346795_0353095,with like the prosodic stuff where we have like stylized pitches and signals and the transcripts on the bottom .,with like the prosodic stuff where we have like stylized pitches and signals and the transcripts on the bottom .,s,s
Bmr026-c0_0350039_0350459,oh cool .,oh cool .,s^ba,s^ba
Bmr026-c4_0353095_0354605,so right now it's just an x waves .,so right now it's just an x_waves .,s,s
Bmr026-c4_0354605_0355585,and then you have three windows .,and then you have three windows .,s,s
Bmr026-c4_0355585_0357245,but i don't know it looked pretty nice .,but i don't know it looked pretty nice .,s,s
Bmr026-c4_0357245_0360530,and i'm sure it - think it has potential for a little something .,and i'm sure it - think it has potential for a little something .,s,s
Bmr026-c0_0359440_0359940,for a demo ?,for a demo ?,qy^d^rt,qy^d^rt
Bmr026-c4_0360530_0361830,yeah for a demo .,yeah for a demo .,s^aa^r,s^aa^r
Bmr026-c0_0361050_0361630,yeah sounds good .,yeah sounds good .,s^bk,s^bk
Bmr026-c4_0362460_0362750,so ==,so ==,fh,fh
Bmr026-c1_0363194_0370784,okay | so again the issue is - for july the issue's going to be what can we fit into a windows machine uh - and so on .,o_k | so again the issue is - for july the issue's gonna be what can we fit into a windows machine uh - and so on .,fg|s,fg|s
Bmr026-c4_0370390_0370670,oh .,oh .,b,b
Bmr026-c1_0370784_0370874,but ==,but ==,fh,fh
Bmr026-c4_0371500_0371790,okay .,o_k .,s^bk,s^bk
Bmr026-c0_0372013_0373253,so it might just be slides .,so it might just be slides .,s,s
Bmr026-c4_0373420_0374280,yeah okay .,yeah o_k .,s^bk,s^bk
Bmr026-c4_0374700_0376700,well we'll see um ==,well we'll see um ==,s.%-,s.%-
Bmr026-c2_0374789_0375989,well - yeah .,well - yeah .,b,b
Bmr026-c2_0377059_0379859,i've been putting together uh - transcriber things for windows .,i've been putting together uh - transcriber things for windows .,s,s
Bmr026-c2_0379859_0380469,so i- ==,so i- ==,%--,%--
Bmr026-c2_0380649_0384559,and i installed it on dave gelbart's p c and it worked just fine .,and i installed it on dave gelbart's p_c and it worked just fine .,s,s
Bmr026-c2_0384559_0386009,so hopefully that will work .,so hopefully that will work .,s,s
Bmr026-c3_0385390_0385680,really ?,really ?,qy^bh,qy^bh
Bmr026-c3_0385680_0386200,so is that ?==,so is that ?==,qy^rt.%--,qy^rt.%--
Bmr026-c3_0386886_0388156,because there's some people um ==,because there's some people um ==,s.%--,s.%--
Bmr026-c3_0388730_0392270,it would be cool if we could uh - get that to work uh - at - at s r i .,it would be cool if we could uh - get that to work uh - at - at s_r_i .,s^cs,s^cs
Bmr026-c2_0391122_0391242,yeah .,yeah .,b,b
Bmr026-c3_0392270_0394250,because the um ==,because the um ==,s^df.%--,s^df.%--
Bmr026-c2_0392449_0392609,yep .,yep .,s^bk,s^bk
Bmr026-c3_0395070_0398030,we have m- - m- - we have more windows machines to run the ==,we have m- - m- - we have more windows machines to run the ==,s.%--,s.%--
Bmr026-c0_0395100_0400656,well transcriber is tcl t. k. very generic with snack .,well transcriber is tcl-t_k very generic with snack .,s,s
Bmr026-c2_0399409_0399549,yeah .,yeah .,b,b
Bmr026-c0_0400746_0403756,so basically anything you can get snack to run on it will work .,so basically anything you can get snack to run on it will work .,s,s
Bmr026-c3_0400880_0401450,right .,right .,b,b
Bmr026-c2_0401623_0401853,yeah .,yeah .,fg,fg
Bmr026-c2_0403100_0403160,yeah .,yeah .,fg,fg
Bmr026-c2_0403160_0409600,but - but the problem is the version transcriber works with the snack version is one point six whatever .,but - but the problem is the version transcriber works with the snack version is one point six whatever .,s,s
Bmr026-c2_0409920_0411840,and that's not anymore supported .,and that's not anymore supported .,s,s
Bmr026-c2_0411840_0413400,it's not on - on the web page anymore .,it's not on - on the web page anymore .,s,s
Bmr026-c2_0413780_0416740,but i just wrote an email to - to the author of - to the snack author .,but i just wrote an email to - to the author of - to the snack author .,s,s
Bmr026-c2_0416740_0419640,and he sent me to one point six whatever - library .,and he sent me to one point six whatever - library .,s,s
Bmr026-c2_0419640_0420590,and so it works .,and so it works .,s,s
Bmr026-c0_0419887_0422757,well i thought it was packaged with transcriber .,well i thought it was packaged with transcriber .,s^bu,s^bu
Bmr026-c2_0422575_0422875,yeah .,yeah .,s^aap,s^aap
Bmr026-c2_0422925_0425045,but then you can't add our patches .,but then you can't add our patches .,s^arp,s^arp
Bmr026-c2_0425045_0428140,and then the - the new version is - is totally different .,and then the - the new version is - is totally different .,s,s
Bmr026-c0_0426140_0426450,oh .,oh .,s^bk,s^bk
Bmr026-c2_0428140_0431110,a- - and in - yeah in terms of - of the source code .,a- - and in - yeah in terms of - of the source code .,s,s
Bmr026-c2_0431460_0433130,you - you can't find the tcl files anymore .,you - you can't find the tcl files anymore .,s,s
Bmr026-c0_0431471_0431751,uh .,ah .,b,b
Bmr026-c2_0433130_0435550,it's some whatever - wrapped thing .,it's some whatever - wrapped thing .,s,s
Bmr026-c3_0434115_0434485,huh .,mmm .,b.%,b.%
Bmr026-c2_0435550_0437120,and you can't - you can't access that .,and you can't - you can't access that .,s^e,s^e
Bmr026-c2_0437120_0441128,so you have to install - first install tcl then install snack .,so you have to install - first install tcl then install snack .,s,s
Bmr026-c2_0441128_0442838,and then install the transcriber thing .,and then install the transcriber thing .,s,s
Bmr026-c2_0442838_0444700,and then do the patches .,and then do the patches .,s,s
Bmr026-c0_0444492_0444852,patch .,patch .,s^2,s^2
Bmr026-c3_0444517_0452044,i - i wonder if - if we should contribute our changes back to the authors so that they maintain those changes along ==,i - i wonder if - if we should contribute our changes back to the authors so that they maintain those changes along ==,s^cs.%-,s^cs.%-
Bmr026-c0_0444992_0445232,ugh !,ugh !,s^fe,s^fe
Bmr026-c2_0445130_0445280,yeah .,yeah .,b,b
Bmr026-c2_0449075_0449225,yeah .,yeah .,b,b
Bmr026-c0_0451428_0451828,we have .,we have .,s,s
Bmr026-c3_0452454_0452774,we have ?,we have ?,qy^bu^d^m^rt,qy^bu^d^m^rt
Bmr026-c0_0452858_0454728,yeah | b- - it's just hasn't made it into the release yet .,yeah | b- - it's just hasn't made it into the release yet .,s^aa|s,s^aa|s
Bmr026-c3_0452974_0453214,oh .,oh .,s^bk,s^bk
Bmr026-c3_0454580_0455130,oh okay .,oh o_k .,s^bk,s^bk
Bmr026-c5_0455630_0460911,so did you um - put the uh - the n t version out on the uh - meeting recorder page or ?==,so did you um - put the uh - the n_t version out on the uh - meeting recorder page or ?==,qr^tc.%--,qr^tc.%--
Bmr026-c2_0461200_0462230,no i haven't done that yet .,no i haven't done that yet .,s^ar,s^ar
Bmr026-c2_0462510_0463120,i'm ==,i'm ==,%--,%--
Bmr026-c2_0463120_0463910,oh nope .,oh nope .,s^ar,s^ar
Bmr026-c2_0464490_0465700,but i definitely will do that .,but i definitely will do that .,s^cc,s^cc
Bmr026-c1_0466448_0470078,so can some of the stuff that don's talking about somehow fit into this ?,so can some of the stuff that don's talking about somehow fit into this ?,qy^tc,qy^tc
Bmr026-c1_0471257_0474837,uh - | mean you just have a set of numbers that are associated with the ==,uh - | mean you just have a set of numbers that are associated with the ==,fh|s.%--,fh|s.%--
Bmr026-c4_0474250_0474490,yeah .,yeah .,b,b
