Bmr019-c4_0000363_0001383,okay | we're on .,o_k | we're on .,s^bk|s^t,s^bk|s^t
Bmr019-c2_0084810_0087920,i see okay .,i see o_k .,s^bk,s^bk
Bmr019-c5_0088040_0088300,so ==,so ==,fh,fh
Bmr019-c1_0088223_0088443,yeah .,yeah .,b.%,b.%
Bmr019-c5_0088470_0092070,and i don't have - and i don't um have a cell phone .,and i don't have - and i don't um have a cell phone .,s,s
Bmr019-c3_0092052_0092612,a cell phone ?,a cell phone ?,qy^br^d^rt,qy^br^d^rt
Bmr019-c5_0092070_0094590,so i can't be having a conference call while driving .,so i can't be having a conference call while driving .,s,s
Bmr019-c2_0094681_0095501,no | it's not good .,no | it's not good .,s^ar|s^ba,s^ar|s^ba
Bmr019-c1_0094989_0095679,r- - r- - right .,r- - r- - right .,fg,fg
Bmr019-c2_0095611_0096151,that's not good .,that's not good .,s^ba^r,s^ba^r
Bmr019-c1_0095679_0096279,so we have to - we ==,so we have to - we ==,s.%-,s.%-
Bmr019-c5_0095821_0098361,plus it would make for interesting noise - background noise .,plus it would make for interesting noise - background noise .,s,s
Bmr019-c1_0097366_0098336,@@ ==,{@@} ==,%,%
Bmr019-c4_0098434_0098684,yep .,yep .,s^aa,s^aa
Bmr019-c5_0098851_0099171,uh ==,uh ==,fh,fh
Bmr019-c1_0099866_0104416,so we have to equip him with a - with a - with a head mounted uh cell phone .,so we have to equip him with a - with a - with a head-mounted uh cell phone .,s,s
Bmr019-c4_0101848_0104658,ye- - we- - and | we'd have to force you to read lots and lots of digits .,ye- - we- - and | we'd have to force you to read lots and lots of digits .,fg|s^cs^j,fg|s^cs^j
Bmr019-c1_0104416_0104736,and ==,and ==,fh,fh
Bmr019-c5_0104630_0105100,oh yeah .,oh yeah .,s^aa^j,s^aa^j
Bmr019-c4_0104848_0107088,so it could get real - real car noise .,so it could get real - real car noise .,s^df,s^df
Bmr019-c3_0105425_0105845,yeah .,yeah .,b,b
Bmr019-c5_0105810_0106270,oh yeah .,oh yeah .,s^aa,s^aa
Bmr019-c8_0106109_0106639,take advantage .,take advantage .,s^j^na,s^j^na
Bmr019-c3_0109349_0110609,and with the kids in the background .,and with the kids in the background .,s^na,s^na
Bmr019-c5_0109450_0110150,i'll let - i'd let ==,i'll let - i'd let ==,s.%-,s.%-
Bmr019-c3_0110789_0111019,yeah .,yeah .,b,b
Bmr019-c5_0110890_0113290,i let uh my five year old have a try at the digits .,i let uh my five-year-old have a try at the digits .,s^j,s^j
Bmr019-c5_0113290_0113400,uh ==,eh ==,fh,fh
Bmr019-c1_0113984_0114304,yeah .,yeah .,b,b
Bmr019-c4_0116010_0118020,so anyway | i can talk about digits .,so anyway | i can talk about digits .,fg|s^t^tc,fg|s^t^tc
Bmr019-c4_0118020_0120770,um did everyone get the results or shall i go over them again ?,um did everyone get the results or shall i go over them again ?,qr,qr
Bmr019-c4_0121753_0127063,i mean that it was basically - the only thing that was even slightly surprising was that the lapel did so well .,i mean that it was basically - the only thing that was even slightly surprising was that the lapel did so well .,s,s
Bmr019-c4_0127802_0132220,um and in retrospect that's not as surprising as maybe i- ==,um and in retrospect that's not as surprising as maybe i- ==,s.%--,s.%--
Bmr019-c4_0132440_0135010,it shouldn't have been as surprising as i - as - as i felt it was .,it shouldn't have been as surprising as i - as - as i felt it was .,s,s
Bmr019-c4_0136123_0138443,the lapel mike is a very high quality microphone .,the lapel mike is a very high-quality microphone .,s,s
Bmr019-c4_0138889_0145809,and as morgan pointed out that there are actually some advantages to it in terms of breath noises and clothes rustling if no one else is talking .,and as morgan pointed out that there are actually some advantages to it in terms of breath noises and clothes rustling if no one else is talking .,s,s
Bmr019-c5_0145918_0146388,exactly .,exactly .,s^aa,s^aa
Bmr019-c3_0146290_0146490,yeah .,yeah .,s^aa,s^aa
Bmr019-c8_0146785_0146995,uhhuh .,mm-hmm .,b,b
Bmr019-c4_0147089_0148709,um so uh ==,um so uh ==,fh,fh
Bmr019-c8_0148872_0149212,it's g- - it ==,it's g- - it ==,%-,%-
Bmr019-c1_0149000_0153990,well it's - yeah | sort of the bre- - the breath noises and the mouth clicks and so forth like that the lapel's going to be better on .,well it's - yeah | sort of the bre- - the breath noises and the mouth clicks and so forth like that the lapel's gonna be better on .,fg|s,fg|s
Bmr019-c3_0149608_0150418,or the cross talk .,or the cross-talk .,s,s
Bmr019-c3_0153792_0153972,yeah .,yeah .,b,b
Bmr019-c1_0154493_0156973,the lapel is typically worse on the - on clothes rustling .,the lapel is typically worse on the - on clothes rustling .,s,s
Bmr019-c1_0157353_0159033,but if no one's rustling their clothes ==,but if no one's rustling their clothes ==,s.%-,s.%-
Bmr019-c4_0159130_0161830,right | i mean a lot of people are just sort of leaning over and reading the digits .,right | i mean a lot of people are just sort of leaning over and reading the digits .,s^aa|s^na,s^aa|s^na
Bmr019-c1_0161333_0162543,it's - it's ==,it's - it's ==,%-,%-
Bmr019-c4_0161830_0165280,so it's - it's a very different task than sort of the natural .,so it's - it's a very different task than sort of the natural .,s,s
Bmr019-c3_0163731_0163961,yeah .,yeah .,b,b
Bmr019-c3_0164461_0167481,you don't move much during reading digits i think .,you don't move much during reading digits i think .,s^na,s^na
Bmr019-c4_0165280_0165570,so ==,so ==,fh,fh
Bmr019-c1_0165596_0165806,yeah .,yeah .,b.%,b.%
Bmr019-c1_0167324_0167644,yeah .,yeah .,s^aa,s^aa
Bmr019-c4_0167430_0167930,right .,right .,s^aa,s^aa
Bmr019-c8_0167825_0173455,probably the fact that it picks up other people's speakers - other people's talking is an indication of that it - the fact it is a good microphone .,probably the fact that it picks up other people's speakers - other people's talking is an indication of that it - the fact it is a good microphone .,s,s
Bmr019-c3_0170117_0170307,yeah .,yeah .,b,b
Bmr019-c4_0173719_0174039,right .,right .,s^aa,s^aa
Bmr019-c1_0174031_0177511,right | so in the digits in most - most cases there weren't other people talking .,right | so in the digits in most - most cases there weren't other people talking .,s^aa|s,s^aa|s
Bmr019-c8_0174284_0174534,so ==,so ==,fh,fh
Bmr019-c4_0174479_0174709,right .,right .,b,b
Bmr019-c5_0177443_0180293,d- - do the lapel mikes have any directionality to them ?,d- - do the lapel mikes have any directionality to them ?,qy^rt,qy^rt
Bmr019-c1_0177511_0177651,so ==,so ==,fh,fh
Bmr019-c1_0180982_0182122,there typically don't | no .,there typically don't | no .,s^nd|s^ar,s^nd|s^ar
Bmr019-c5_0182190_0187934,because i - i suppose you could make some that have sort of - that you have to orient towards your mouth .,because i - i suppose you could make some that have sort of - that you have to orient towards your mouth .,s^df,s^df
Bmr019-c5_0187934_0188774,and then it would ==,and then it would ==,s.%-,s.%-
Bmr019-c4_0188151_0189141,they have a little bit .,they have a little bit .,s,s
Bmr019-c4_0189141_0190751,but they're not noise cancelling .,but they're not noise-cancelling .,s,s
Bmr019-c4_0190751_0191521,so uh ==,so uh ==,fh,fh
Bmr019-c1_0191822_0193662,they're - they're intended to be omni-directional .,they're - they're intended to be omni-directional .,s,s
Bmr019-c4_0193769_0194049,right .,right .,s^aa,s^aa
Bmr019-c5_0194850_0195170,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0194875_0197985,and th- - it's - and because you don't know how people are going to put them on you know .,and th- - it's - and because you don't know how people are gonna put them on you know .,s,s
Bmr019-c4_0197379_0197659,right .,right .,b,b
Bmr019-c4_0198469_0203022,so | also andreas on that one the - the back part of it should be right against your head .,so | also andreas on that one the - the back part of it should be right against your head .,fg|s,fg|s
Bmr019-c4_0203593_0206023,and that will he- - keep it from flopping aro- - up and down as much .,and that will he- - keep it from flopping aro- - up and down as much .,s^e,s^e
Bmr019-c5_0206360_0207340,it is against my head .,it is against my head .,s,s
Bmr019-c4_0207090_0207400,okay .,o_k .,s^bk,s^bk
Bmr019-c1_0207905_0208175,yeah .,yeah .,b,b
Bmr019-c1_0209294_0212634,um yeah | we actually talked about this in the uh front end meeting this morning too .,um yeah | we actually talked about this in the uh front-end meeting this morning too .,fg|s,fg|s
Bmr019-c4_0212682_0212942,uhhuh .,uh-huh .,b,b
Bmr019-c1_0212924_0213684,much the same thing .,much the same thing .,s^e,s^e
Bmr019-c1_0213684_0214344,and - and it was ==,and - and it was ==,s.%--,s.%--
Bmr019-c1_0214907_0230407,uh i mean there the point of interest to the group was primarily that um the uh - the system that we had that was based on h. t. k that's used by you know all the participants in aurora was so much worse than the - than the s. r. i .,uh i mean there the point of interest to the group was primarily that um the uh - the system that we had that was based on h_t_k that's used by you know all the participants in aurora was so much worse than the - than the s_r_i .,s^rt,s^rt
Bmr019-c4_0225089_0225589,everybody .,everybody .,s^2,s^2
Bmr019-c1_0230407_0247411,and the interesting thing is that even though yes it's a digits task and that's a relatively small number of words and there's a bunch of digits that you train on it's just not as good as having a - a l- - very large amount of data and training up a - a - a nice good big h. m. m .,and the interesting thing is that even though yes it's a digits task and that's a relatively small number of words and there's a bunch of digits that you train on it's just not as good as having a - a l- - very large amount of data and training up a - a - a nice good big h_m_m .,s,s
Bmr019-c1_0247411_0250991,um also you had the adaptation in the s. r. i system which we didn't have in this .,um also you had the adaptation in the s_r_i system which we didn't have in this .,s,s
Bmr019-c1_0251620_0254400,um so um ==,um so um ==,fh,fh
Bmr019-c5_0254239_0254939,and we know ==,and we know ==,s.%--,s.%--
Bmr019-c5_0255354_0257894,di- - did i send you some results without adaptation ?,di- - did i send you some results without adaptation ?,qy^rt,qy^rt
Bmr019-c4_0258103_0258293,no .,no .,s^ar,s^ar
Bmr019-c4_0258773_0260293,or if you did i didn't include them .,or if you did i didn't include them .,s,s
Bmr019-c1_0258803_0262193,i- - s- - i think stephane uh had seen them .,i- - s- - i think stephane uh had seen them .,s,s
Bmr019-c4_0260433_0260943,because it was ==,cuz it was ==,s^df.%-,s^df.%-
Bmr019-c1_0262193_0262593,so ==,so ==,fh,fh
Bmr019-c5_0262850_0264070,yeah i think i did actually .,yeah i think i did actually .,s^df,s^df
Bmr019-c5_0264750_0268300,so there was a significant loss from not doing the adaptation .,so there was a significant loss from not doing the adaptation .,s,s
Bmr019-c1_0268690_0268970,yeah .,yeah .,b,b
Bmr019-c5_0269230_0269620,um ==,um ==,fh,fh
Bmr019-c5_0270380_0271830,a - a - a couple percent or some- ==,a - a - a couple percent or some- ==,s.%--,s.%--
Bmr019-c5_0271830_0272130,i mean ==,i mean ==,%--,%--
Bmr019-c5_0273185_0274935,well i don't know it - overall ==,well i don't know it - overall ==,%--,%--
Bmr019-c5_0276172_0277242,uh i - i don't remember .,uh i - i don't remember .,s^no,s^no
Bmr019-c5_0277242_0284516,but there was - there was a significant um loss or win from adaptation - with - with adaptation .,but there was - there was a significant um loss or win from adaptation - with - with adaptation .,s,s
Bmr019-c5_0285570_0287070,and um ==,and um ==,fh,fh
Bmr019-c5_0288200_0289560,that was the phone loop adaptation .,that was the phone-loop adaptation .,s,s
Bmr019-c5_0289560_0300435,and then there was a very small like point one percent on the natives - uh win from doing um you know adaptation to the recognition hypotheses .,and then there was a very small like point one percent on the natives - uh win from doing um you know adaptation to the recognition hypotheses .,s,s
Bmr019-c5_0301306_0305046,and i tried both means adaptation and means and variances .,and i tried both means adaptation and means and variances .,s,s
Bmr019-c5_0305046_0308316,and the variances added another - or subtracted another point one percent .,and the variances added another - or subtracted another point one percent .,s,s
Bmr019-c5_0308316_0311320,so it's um - that's the number there .,so it's um - that's the number there .,s,s
Bmr019-c5_0311360_0316952,point six i believe is what you get with both uh means and variance adaptation .,point six i believe is what you get with both uh means and variance adaptation .,s,s
Bmr019-c4_0312005_0312285,right .,right .,b,b
Bmr019-c1_0317632_0320612,but i think one thing is that uh i would presume ==,but i think one thing is that uh i would presume ==,s.%--,s.%--
Bmr019-c1_0320712_0326019,hav- - have you ever t- - have you ever tried this exact same recognizer out on the actual t. i. digits test set ?,hav- - have you ever t- - have you ever tried this exact same recognizer out on the actual t_i-digits test set ?,qy^rt,qy^rt
Bmr019-c5_0328950_0330160,this exact same recognizer ?,this exact same recognizer ?,qw^br,qw^br
Bmr019-c5_0330160_0330410,no .,no .,s^ar,s^ar
Bmr019-c1_0331008_0332208,it might be interesting to do that .,it might be interesting to do that .,s^cs,s^cs
Bmr019-c1_0332208_0333928,because my - my - because my sense ==,cuz my - my - cuz my sense ==,s^df.%--,s^df.%--
Bmr019-c1_0334574_0334934,um ==,um ==,fh,fh
Bmr019-c5_0334802_0340002,but - but i have - i mean people - people at s. r. i are actually working on digits .,but - but i have - i mean people - people at s_r_i are actually working on digits .,s,s
Bmr019-c4_0335980_0337460,i bet it would do even slightly better .,i bet it would do even slightly better .,s,s
Bmr019-c5_0340452_0346630,i could - and they are using a system that's um you know h- - is actually trained on digits .,i could - and they are using a system that's um you know h- - is actually trained on digits .,s,s
Bmr019-c5_0347200_0355320,um but h- - h- - otherwise uses the same you know decoder the same uh training methods and so forth .,um but h- - h- - otherwise uses the same you know decoder the same uh training methods and so forth .,s^df,s^df
Bmr019-c1_0350316_0350656,uhhuh .,mm-hmm .,b,b
Bmr019-c5_0355320_0358250,and i could ask them what they get on t. i. digits .,and i could ask them what they get on t_i-digits .,s^cs,s^cs
Bmr019-c1_0357375_0361105,yeah | bu- - although i'd be - i think it'd be interesting to just take this exact actual system .,yeah | bu- - although i'd be - i think it'd be interesting to just take this exact actual system .,s^bk|s^cs^ng,s^bk|s^cs^ng
Bmr019-c1_0361105_0362475,so that these numbers were comparable .,so that these numbers were comparable .,s^df,s^df
Bmr019-c5_0361438_0362238,uhhuh .,mm-hmm .,b,b
Bmr019-c5_0362278_0364148,well adam knows how to run it .,well adam knows how to run it .,s,s
Bmr019-c1_0362475_0363785,and try it out on t. i. digits .,and try it out on t_i-digits .,s^cs^e,s^cs^e
Bmr019-c4_0364127_0365067,yeah | no problem .,yeah | no problem .,s^aa|s^ba,s^aa|s^ba
Bmr019-c5_0364278_0366841,so you just make a f- ==,so you just make a f- ==,s.%-,s.%-
Bmr019-c1_0364390_0364630,yeah .,yeah .,b,b
Bmr019-c1_0365010_0365250,yeah .,yeah .,b,b
Bmr019-c1_0365470_0365710,yeah .,yeah .,b,b
Bmr019-c1_0366040_0369610,because our sense from the other - from the aurora uh task is that ==,cuz our sense from the other - from the aurora uh task is that ==,s^df.%--,s^df.%--
Bmr019-c4_0366530_0367620,and try it with t. i. digits .,and try it with t_i-digits .,s,s
Bmr019-c5_0368596_0369366,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0369610_0375280,i mean because we were getting sub one percent numbers on t. i. digits also with the tandem thing .,i mean cuz we were getting sub one percent numbers on t_i-digits also with the tandem thing .,s^df,s^df
Bmr019-c5_0372251_0373071,uhhuh .,mm-hmm .,b,b
Bmr019-c5_0374993_0375703,huh .,mmm .,b,b
Bmr019-c1_0375280_0377870,so one - so there were a number of things we noted from this .,so one - so there were a number of things we noted from this .,s,s
Bmr019-c1_0377870_0380660,one is yeah the s. r. i system is a lot better than the h. t. k .,one is yeah the s_r_i system is a lot better than the h_t_k .,s,s
Bmr019-c5_0380527_0380797,huh .,hmm .,b,b
Bmr019-c1_0381389_0383979,this you know very limited training h. t. k system .,this you know very limited training h_t_k system .,s,s
Bmr019-c5_0383319_0383959,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c1_0384422_0395563,uh but the other is that um the digits recorded here in this room with these close mikes i- - uh are actually a lot harder than the studio recording t. i. digits .,uh but the other is that um the digits recorded here in this room with these close mikes i- - uh are actually a lot harder than the studio-recording t_i-digits .,s,s
Bmr019-c5_0395923_0396663,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0395973_0402743,i think you know one reason for that uh might be that there's still - even though it's close talking there still is some noise and some room acoustics .,i think you know one reason for that uh might be that there's still - even though it's close-talking there still is some noise and some room acoustics .,s,s
Bmr019-c5_0401525_0402305,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0403109_0410099,and another might be that uh i'd - i would presume that in the studio uh uh situation recording read speech that if somebody .,and another might be that uh i'd - i would presume that in the studio uh uh situation recording read speech that if somebody .,s,s
Bmr019-c1_0410655_0415765,did something a little funny or n- - pronounced something a little funny or made a little - that they didn't include it .,did something a little funny or n- - pronounced something a little funny or made a little - that they didn't include it .,s,s
Bmr019-c4_0413948_0414668,they didn't include it ?,they didn't include it ?,qy^2^bu^d^rt,qy^2^bu^d^rt
Bmr019-c1_0415765_0416865,they made them do it again .,they made them do it again .,s^e,s^e
Bmr019-c4_0416270_0421090,whereas i took out the ones that i noticed that were blatant - that were correctable .,whereas i took out the ones that i noticed that were blatant - that were correctable .,s,s
Bmr019-c1_0420444_0420624,huh .,mmm .,b.%,b.%
Bmr019-c1_0421572_0422332,yeah .,yeah .,b,b
Bmr019-c4_0422011_0424611,so that if someone just read the wrong digit i corrected it .,so that if someone just read the wrong digit i corrected it .,s,s
Bmr019-c4_0424611_0430430,and then there was another one where jose couldn't tell whether - i couldn't tell whether he was saying zero or six .,and then there was another one where jose couldn't tell whether - i couldn't tell whether he was saying zero or six .,s^rt,s^rt
Bmr019-c1_0424790_0425350,yeah .,yeah .,b,b
Bmr019-c4_0430490_0432140,and i asked him and he couldn't tell either .,and i asked him and he couldn't tell either .,s,s
Bmr019-cb_0431939_0432129,huh .,hmm .,b,b
Bmr019-c4_0432905_0433835,so i just cut it out .,so i just cut it out .,s,s
Bmr019-c4_0434686_0438856,you know so i just e- - edited out the first i- - uh word of the utterance .,you know so i just e- - edited out the first i- - uh word of the utterance .,s,s
Bmr019-c1_0434853_0435163,yeah .,yeah .,b,b
Bmr019-c4_0438916_0442516,um so there's a little bit of correction but it's definitely not as clean as t. i. digits .,um so there's a little bit of correction but it's definitely not as clean as t_i-digits .,s,s
Bmr019-c4_0442899_0445429,so my expectations is t. i. digits would especially ==,so my expectations is t_i-digits would especially ==,s.%--,s.%--
Bmr019-c4_0446420_0448910,i think t. i. digits is all american english .,i think t_i-digits is all american english .,s^bu,s^bu
Bmr019-c4_0448910_0449180,right ?,right ?,qy^d^g^rt,qy^d^g^rt
Bmr019-c4_0449180_0451280,so it would probably do even a little better still .,so it would probably do even a little better still .,s,s
Bmr019-c1_0449391_0449771,uhhuh .,mm-hmm .,s^aa,s^aa
Bmr019-c4_0452680_0453390,on the s. r. i system .,on the s_r_i system .,s^e,s^e
Bmr019-c4_0453390_0454230,but we could give it a try .,but we could give it a try .,s^bd^cs,s^bd^cs
Bmr019-c5_0453678_0453968,well ==,well ==,fg,fg
Bmr019-c5_0454458_0461558,but remember we're using a telephone bandwidth front end here uh on this uh on this s. r. i system .,but remember we're using a telephone bandwidth front-end here uh on this uh on this s_r_i system .,s,s
Bmr019-c5_0461558_0465720,so um i was - i thought that maybe that's actually a good thing .,so um i was - i thought that maybe that's actually a good thing .,s,s
Bmr019-c5_0465720_0468560,because it - it gets rid of some of the - uh the noises .,because it - it gets rid of some of the - uh the noises .,s^rt,s^rt
Bmr019-c5_0469420_0477308,um you know in the - the - below and above the um the you know speech bandwidth .,um you know in the - the - below and above the um the you know speech bandwidth .,s^e,s^e
Bmr019-c1_0472327_0472767,uhhuh .,mm-hmm .,b,b
Bmr019-c1_0476943_0477203,uhhuh .,mm-hmm .,b,b
Bmr019-c5_0477308_0478650,and um ==,and um ==,fh,fh
Bmr019-c5_0479250_0489660,i suspect that to get sort of the last bit out of these higher quality recordings you would have to in fact uh use models that uh were trained on wider band data .,i suspect that to get sort of the last bit out of these higher-quality recordings you would have to in fact uh use models that uh were trained on wider-band data .,s,s
Bmr019-c5_0489760_0491410,and of course we can't do that or ==,and of course we can't do that or ==,s.%-,s.%-
Bmr019-c4_0491942_0492962,wha- - what's t. i. digits ?,wha- - what's t_i-digits ?,qw^rt,qw^rt
Bmr019-c4_0492962_0493392,i thought t- ==,i thought t- ==,s.%-,s.%-
Bmr019-c1_0493625_0494465,it's wide band | yeah .,it's wide-band | yeah .,s^na|s^aa,s^na|s^aa
Bmr019-c1_0494465_0495865,it's - in - in fact we looked it up .,it's - in - in fact we looked it up .,s,s
Bmr019-c4_0494540_0495220,it is wide band .,it is wide-band .,s^bk^m,s^bk^m
Bmr019-c4_0495220_0495420,okay .,o_k .,s^bk,s^bk
Bmr019-c1_0495865_0498355,and it was actually twenty kilohertz sampling .,and it was actually twenty kilohertz sampling .,s,s
Bmr019-c4_0498300_0498880,oh that's right .,oh that's right .,s^bk,s^bk
Bmr019-c4_0499000_0499930,i - i did look that up .,i - i did look that up .,s,s
Bmr019-c5_0499127_0499417,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c4_0499930_0502890,i couldn't remember whether that was t. i. digits or one of the other digit tasks .,i couldn't remember whether that was t_i-digits or one of the other digit tasks .,s^df^no,s^df^no
Bmr019-c1_0500437_0500777,yeah .,yeah .,b,b
Bmr019-c5_0501710_0501940,right .,right .,b,b
Bmr019-c5_0502805_0503715,but - but i would ==,but - but i would ==,s.%--,s.%--
Bmr019-c5_0503715_0504045,yeah .,yeah .,fh,fh
Bmr019-c5_0504045_0505415,it's - it's easy enough to try .,it's - it's easy enough to try .,s,s
Bmr019-c5_0505415_0506635,just run it on ==,just run it on ==,s.%-,s.%-
Bmr019-c4_0507008_0507228,uhhuh .,mm-hmm .,b.%,b.%
Bmr019-c1_0507082_0507322,yeah .,yeah .,b,b
Bmr019-c4_0508068_0509818,so morgan you're getting a little breath noise .,so morgan you're getting a little breath noise .,s^df^t3,s^df^t3
Bmr019-c1_0508249_0509209,see w- ==,see w- ==,%-,%-
Bmr019-c5_0508339_0508849,now uh does ==,now eh does ==,%-,%-
Bmr019-c5_0509589_0510929,one - one issue ==,one - one issue ==,s.%-,s.%-
Bmr019-c4_0509818_0511278,you might want to move the mike down a little bit .,you might wanna move the mike down a little bit .,s^cs^t3,s^cs^t3
Bmr019-c5_0511824_0523235,one issue with - with that is that um the system has this uh notion of a speaker to - which is used in adaptation variance norm- - uh you know both in uh mean and variance normalization .,one issue with - with that is that um the system has this uh notion of a speaker to - which is used in adaptation variance norm- - uh you know both in uh mean and variance normalization .,s,s
Bmr019-c5_0523235_0526550,and also in the v. t. l estimation .,and also in the v_t_l estimation .,s,s
Bmr019-c1_0524001_0524421,uhhuh .,mm-hmm .,b,b
Bmr019-c5_0526620_0526950,so ==,so ==,fh,fh
Bmr019-c4_0527632_0529532,yeah | i noticed the script that extracted it .,yeah | i noticed the script that extracted it .,fg|s,fg|s
